Step,Fe-N94_dist,Fe-N95_dist,Fe-N96_dist,Fe-N97_dist
341,2.204495057684735,2.0768604575413065,2.165909319463888,2.242779453085071
342,2.21192854803851,2.0852616458151605,2.1782664504914213,2.233572999919262
343,2.2173936796915084,2.094331729797073,2.189703900699238,2.2247137674488378
344,2.2208209479169345,2.1041170314882645,2.199823978307458,2.2164492115129417
345,2.2223506661789805,2.114753255750315,2.2083610364832986,2.2090983116256386
346,2.2224380803073216,2.126493436710464,2.2153550711881738,2.2031422222700194
347,2.2217396103798976,2.139577401583534,2.221142069370099,2.1991191548432347
348,2.2197041593368474,2.1531930471702783,2.225197103057131,2.1964201198316773
349,2.2158126312956816,2.166355683584995,2.227051033790351,2.1943925638473436
350,2.210191686437093,2.1785119585517325,2.226729234307808,2.192859207652565
351,2.2031268065533434,2.189253265525781,2.2243165454845015,2.191714280689056
352,2.194961520685617,2.198297283387461,2.21989099855769,2.1908642296651966
353,2.186068043641543,2.20545687312621,2.2135273134337874,2.1901997172471965
354,2.1768366318974777,2.2106376072857072,2.205323782574114,2.1896070451004377
355,2.167660926574892,2.2138293340537993,2.195426111327631,2.1889727114271653
356,2.158923796782197,2.2150925165831246,2.1840378546607804,2.1881920709554015
357,2.150987690449746,2.214565604657603,2.1714369656693657,2.1871848405329235
358,2.1442278980300995,2.212506965970887,2.1580030797833096,2.1859565690982308
359,2.139158688311988,2.209460628936567,2.1443380227955227,2.1847731679813776
360,2.1364513832022176,2.206285872278843,2.1312424889014925,2.184218887190507
361,2.136319541775976,2.203367219467034,2.1191351017134146,2.1844594728447926
362,2.138587931744345,2.2006402651182504,2.1081406983819773,2.1852887692644187
363,2.1430520104833786,2.1980103303568423,2.098368580423837,2.1865189166972967
364,2.149560624445489,2.1954853663098266,2.089991132093365,2.188104654971897
365,2.1580088939709787,2.193198087742984,2.0832020754877925,2.190134670869296
366,2.1682844538933908,2.1913249986704817,2.0781513896772568,2.1927295333962418
367,2.1799347141256,2.189691068261227,2.074724088329059,2.195639555302579
368,2.1920946020685457,2.18769990273532,2.0725369298085408,2.1981653048777905
369,2.204082503652951,2.1849930452532824,2.0712847800996164,2.199850583872785
370,2.215462892042645,2.181468168861335,2.070754732098231,2.2005165207676027
371,2.225936964580131,2.1771300087200185,2.0707672753092385,2.2001033611973813
372,2.2356548649075996,2.172475304143979,2.071777630248133,2.1989415463816657
373,2.244491154274027,2.167583313428465,2.0736111470984153,2.197075869220697
374,2.2523900373044596,2.1625409316234423,2.0760971299995816,2.194582717131327
375,2.2593592263623576,2.157433658587388,2.079074339766274,2.1915557647519344
376,2.2654638040199213,2.1523340434614364,2.0824028872213574,2.188102293093144
377,2.270826220507881,2.147290470943679,2.0859833401590877,2.1843313680566037
378,2.275616176652524,2.142314432846565,2.0897612127097194,2.180345368710832
379,2.2800427096502505,2.1373940846052752,2.0937297946717797,2.176236082406239
